Neighbourhood Name,Latitude,Longitude
Abbottsfield,53.574143,-113.388758
Albany,53.632382,-113.549464
Alberta Avenue,53.568485,-113.485119
Alberta Park Industrial,53.566735,-113.596472
Alces,53.433217,-113.356068
Aldergrove,53.516888,-113.641242
Allard,53.401301,-113.526641
Allendale,53.502277,-113.504821
Ambleside,53.430641,-113.600677
Anthony Henday,53.54111,-113.661515
Anthony Henday Big Lake,53.592211,-113.647881
Anthony Henday Castledowns,53.643298,-113.533361
Anthony Henday Clareview,53.617886,-113.357959
Anthony Henday Energy Park,53.639588,-113.407223
Anthony Henday Horse Hill,53.633205,-113.38747
Anthony Henday Lake District,53.646909,-113.467371
Anthony Henday Mistatim,53.608478,-113.611955
Anthony Henday Rampart,53.627497,-113.576374
Anthony Henday South,53.432209,-113.547667
Anthony Henday South Blackburne,53.434475,-113.504617
Anthony Henday South East,53.440972,-113.360909
Anthony Henday South West,53.485006,-113.658883
Anthony Henday Terwillegar,53.443778,-113.598088
Argyll,53.503101,-113.460539
Armstrong Industrial,53.565863,-113.621263
Aspen Gardens,53.477535,-113.545664
Aster,53.451654,-113.35823
Athlone,53.588026,-113.550982
Avonmore,53.50778,-113.451631
Balwin,53.587951,-113.455075
Bannerman,53.60395,-113.378624
Baranow,53.605734,-113.536103
Baturyn,53.63098,-113.504339
Beacon Heights,53.573539,-113.40604
Bearspaw,53.443462,-113.500528
Beaumaris,53.618422,-113.505007
Beaumont,53.352,-113.4157
Belgravia,53.511796,-113.532729
Belle Rive,53.6223,-113.473596
Bellevue,53.566417,-113.445942
Belmead,53.525603,-113.641015
Belmont,53.593124,-113.394379
Belvedere,53.591057,-113.436063
Bergman,53.579564,-113.409667
Beverly Heights,53.564122,-113.402652
Bisset,53.458905,-113.400659
Blackburne,53.429071,-113.498309
Blackmud Creek,53.419661,-113.510788
Blackmud Creek Ravine,53.44687,-113.524166
Blatchford Area,53.571985,-113.516997
Blue Quill,53.457627,-113.526237
Blue Quill Estates,53.457627,-113.540195
Bonaventure Industrial,53.591525,-113.57216
Bonnie Doon,53.525337,-113.467111
Boyle Street,53.547631,-113.479263
Brander Gardens,53.495209,-113.579425
Breckenridge Greens,53.516526,-113.684351
Brintnell,53.621394,-113.407114
Britannia Youngstown,53.546295,-113.60151
Brookside,53.491831,-113.568128
Brown Industrial,53.582399,-113.568007
Bulyea Heights,53.474747,-113.569424
Caernarvon,53.6119,-113.526402
Calder,53.588056,-113.528872
Calgary Trail North,53.490156,-113.494069
Calgary Trail South,53.471191,-113.493532
Callaghan,53.407345,-113.526792
Callingwood North,53.507598,-113.623025
Callingwood South,53.500515,-113.623031
Cameron Heights,53.474127,-113.634359
Canon Ridge,53.578789,-113.379217
Canora,53.546193,-113.584215
Canossa,53.636192,-113.522686
Capilano,53.554672,-113.422792
Carleton Square Industrial,53.57343,-113.608881
Carlisle,53.60352,-113.525915
Carlton,53.621652,-113.559373
Carter Crest,53.464885,-113.577802
Cashman,53.417458,-113.500695
Casselman,53.611349,-113.424132
Cavanagh,53.405981,-113.512019
Central McDougall,53.553332,-113.501068
Chambery,53.640764,-113.511761
Chappelle,53.403081,-113.586844
Charlesworth,53.428544,-113.41813
Clareview,53.5954,-113.4153
Clareview Town Centre,53.601948,-113.406891
Clover Bar Area,53.591512,-113.333357
Cloverdale,53.536858,-113.474012
Connors Hill,53.5302,-113.4683
Coronation Park,53.5738,-113.5631
Coronet Addition Industrial,53.502729,-113.451653
Coronet Industrial,53.493966,-113.478976
CPR Irvine,53.507527,-113.490549
Crawford Plains,53.441837,-113.406216
Crestwood,53.535434,-113.569038
Cromdale,53.559061,-113.469043
Crystallina Nera East,53.640582,-113.447505
Crystallina Nera West,53.640311,-113.4592
Cumberland,53.610563,-113.553188
Cy Becker,53.632363,-113.406924
Daly Grove,53.449537,-113.400727
Davies Industrial East,53.506189,-113.433139
Davies Industrial West,53.498436,-113.45036
Dechene,53.490436,-113.635953
Decoteau,53.410339,-113.369086
Delton,53.579046,-113.482449
Delwood,53.595949,-113.45513
Desrochers Area,53.399507,-113.552914
Dominion Industrial,53.57583,-113.571851
Donsdale,53.48563,-113.63546
Dovercourt,53.575727,-113.559534
Downtown,53.539767,-113.499421
Drayton Valley,53.2234,-114.9744
Duggan,53.47151,-113.506058
Dunluce,53.621473,-113.530183
Eastgate Business Park,53.534014,-113.406351
Eastwood,53.576105,-113.46873
Eaux Claires,53.621639,-113.485637
Ebbers,53.611425,-113.40103
Edgemont,53.469743,-113.670843
Edmiston Industrial,53.565847,-113.632747
Edmonton Energy And Technology Park,53.678232,-113.38006
Edmonton North,53.6316,-113.5374
Edmonton Northlands,53.568372,-113.456446
Edmonton Research and Development Park,53.44622,-113.473032
Edmonton South Central,53.366707,-113.571301
Edmonton South Central East,53.381265,-113.455164
Edmonton South East,53.381303,-113.376823
Edmonton South West,53.366549,-113.647424
Ekota,53.44941,-113.442336
Ellerslie,53.428545,-113.457731
Ellerslie Industrial,53.413984,-113.488153
Elmwood,53.515738,-113.605993
Elmwood Park,53.579591,-113.460917
Elsinore,53.640763,-113.499402
Empire Park,53.484366,-113.505859
Ermineskin,53.457639,-113.505728
Evansdale,53.610841,-113.479569
Evergreen,53.632241,-113.350484
Falconer Heights,53.466721,-113.588524
Forest Heights,53.544537,-113.45125
Fraser,53.611114,-113.37367
Fulton Place,53.546295,-113.427466
Gagnon Estate Industrial,53.580184,-113.585795
Gainer Industrial,53.516111,-113.424517
Gariepy,53.493596,-113.622657
Garneau,53.519911,-113.513536
Garside Industrial,53.56675,-113.584178
Gateway,53.4736,-113.4909
Girard Industrial,53.51117,-113.437724
Glastonbury,53.503187,-113.66987
Glengarry,53.595855,-113.479612
Glenora,53.544905,-113.557043
Glenridding Heights,53.417599,-113.60666
Glenridding Ravine,53.410316,-113.602586
Glenwood,53.536417,-113.60277
Gold Bar,53.548908,-113.412004
Goodridge Corners,53.642395,-113.558741
Gorman,53.623225,-113.387721
Grandview Heights,53.501165,-113.54891
Granville,53.504872,-113.682797
Graydon Hill,53.421257,-113.559297
Greenfield,53.471073,-113.527505
Greenview,53.475394,-113.42781
Griesbach,53.606808,-113.504229
Grovenor,53.545399,-113.571912
Haddow,53.45475,-113.596489
Hagmann Estate Industrial,53.582176,-113.544951
Hairsine,53.603838,-113.390923
Hawin Park Estate Industrial,53.574851,-113.596574
Hawks Ridge,53.588457,-113.701466
Hays Ridge Area,53.417622,-113.577703
Hazeldean,53.504206,-113.477889
Henderson Estates,53.467635,-113.597447
Heritage Valley Area,53.417641,-113.547053
Heritage Valley Town Centre,53.406308,-113.54399
High Park,53.554986,-113.584199
High Park Industrial,53.56104,-113.584248
Highlands,53.565999,-113.430171
Hillview,53.46974,-113.427064
Hodgson,53.457673,-113.559807
Hollick-Kenyon,53.622244,-113.422288
Holyrood,53.531361,-113.45019
Homesteader,53.58472,-113.406459
Hudson,53.604587,-113.553396
Huff Bremner Estate Industrial,53.564621,-113.571896
Idylwylde,53.52163,-113.449114
Industrial Heights,53.580983,-113.437473
Inglewood,53.564606,-113.540852
Jackson Heights,53.48166,-113.410848
Jamieson Place,53.488707,-113.64902
Jasper Park,53.52307,-113.584105
Kameyosek,53.461919,-113.442068
Keheewin,53.450243,-113.504513
Kenilworth,53.521633,-113.431042
Kennedale Industrial,53.590871,-113.423376
Kensington,53.595863,-113.528924
Kernohan,53.5894,-113.380164
Keswick,53.4176,-113.635797
Kildare,53.603293,-113.45515
Kilkenny,53.610378,-113.455119
Killarney,53.588489,-113.479568
King Edward Park,53.515151,-113.45057
Kinglet Gardens,53.577379,-113.701417
Kiniski Gardens,53.475924,-113.403303
Kinokamau Plains Area,53.585084,-113.620441
Kirkness,53.611416,-113.388399
Klarvatten,53.637224,-113.476665
La Perle,53.533088,-113.640709
Lago Lindo,53.636039,-113.484647
Lago Lindo Branch,53.6159,-113.4867
Lambton Industrial,53.522269,-113.413848
Lansdowne,53.486625,-113.545997
Larkspur,53.48021,-113.38124
Lauderdale,53.588449,-113.504256
Laurel,53.445799,-113.38147
Laurier Heights,53.514255,-113.569332
Lee Ridge,53.469593,-113.444355
Leger,53.457691,-113.577422
Lendrum Place,53.4932,-113.522806
Lewis Farms Industrial,53.537548,-113.682864
Londonderry,53.5894,-113.4591
Lorelei,53.624593,-113.504466
Lymburn,53.507532,-113.6423
Lynnwood,53.515701,-113.589909
MacEwan,53.428746,-113.526948
Mactaggart,53.437903,-113.561047
Magrath Heights,53.447689,-113.55672
Malmo Plains,53.485677,-113.528992
Maple,53.475394,-113.354102
