,Drop Off Location,Stake,Route Information,Time Spent,Total Adult Volunteers,Total Youth Volunteers,Number of Doors,Number of Donation Bags,Number of Routes,Ward,Year,Latitude,Longitude
0,Bearspaw Chapel,Riverbend Stake,Route 676,15,7.0,7.0,78.0,599.0,1.0,Woodbend Ward,2024,53.4747,-113.6399
1,Bearspaw Chapel,Gateway Stake,Route 0,15,0.0,0.0,0.0,0.0,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
2,Londonberry Chapel,Bonnie Doon Stake,Route Unknown,15,1.0,0.0,1.0,1.0,1.0,Clareview Ward,2024,53.5954,-113.4153
3,Gateway Stake Centre ,Gateway Stake,Route 50,15,2.0,2.0,20.0,20.0,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
4,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route 98,15,2.0,2.0,20.0,15.0,1.0,Forest Heights Ward,2024,53.544537,-113.45125
5,Gateway Stake Centre ,Gateway Stake,Route 19,45,1.0,0.0,230.0,21.0,1.0,Silver Berry Ward,2024,53.461159,-113.381406
6,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route 7,15,2.0,0.0,75.0,7.0,1.0,Forest Heights Ward,2024,53.544537,-113.45125
7,Londonberry Chapel,Bonnie Doon Stake,Route 32,45,2.0,3.0,21.0,23.0,1.0,Londonderry Ward,2024,53.5894,-113.4591
8,Riverbend Stake Centre,Riverbend Stake,Route 1,75,3.0,3.0,45.0,15.0,1.0,Woodbend Ward,2024,53.4747,-113.6399
9,Riverbend Stake Centre,Riverbend Stake,Route 2,45,2.0,4.0,172.0,18.0,1.0,Woodbend Ward,2024,53.4747,-113.6399
10,Bearspaw Chapel,Gateway Stake,Route 1,15,2.0,0.0,135.0,26.0,1.0,Blackmud Creek Ward,2024,53.419661,-113.510788
11,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route 3,45,2.0,4.0,0.0,30.0,1.0,Connors Hill Ward,2024,53.5302,-113.4683
12,Londonberry Chapel,Bonnie Doon Stake,Route 64,15,2.0,0.0,18.0,18.0,1.0,Londonderry Ward,2024,53.5894,-113.4591
13,Londonberry Chapel,Bonnie Doon Stake,Route 21,15,2.0,1.0,10.0,12.0,1.0,Londonderry Ward,2024,53.5894,-113.4591
14,Bearspaw Chapel,Gateway Stake,Route 10,45,2.0,3.0,3.0,36.0,1.0,Blackmud Creek Ward,2024,53.419661,-113.510788
15,Gateway Stake Centre ,Gateway Stake,Route 28,45,3.0,4.0,117.0,30.0,1.0,Silver Berry Ward,2024,53.461159,-113.381406
16,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route 58,15,2.0,1.0,125.0,7.0,1.0,Forest Heights Ward,2024,53.544537,-113.45125
17,Bearspaw Chapel,Gateway Stake,Route 6,45,2.0,1.0,12.0,20.0,1.0,Blackmud Creek Ward,2024,53.419661,-113.510788
